auteur;opinion;commentaire;note;date
Angélique  Belval;Je travaille 10h par jours..;Abonnés depuis bientôt 2 ans, nous apprécions beaucoup hellofresh, notamment la facilité et la diversité des plats végétariens. Cela nous aide grandement à consommer moins de viande, même avec des grands ados! La charge mentale du dîner a diminué et toute la famille est plus disposée â venir aider pour couper les légumes à 19.30;5; 30 mai 2023
C.;Abonnés depuis bientôt 2 ans;J'adore. Les produits sont frais, les recettes goûteuses et facile à réaliser.Le conditionnement est étudié, fraîcheur assurée. Je regretterais l'emballage plastique pour les salades. Mais je suis impressionnée par la qualité des légumes.;5; 16 juin 2022
Christelle ESTAYNOU;J'adore;Recettes intéressantes, goûteuses.  Cela varie les menus ,très pratique et bon!;5; 31 mai 2023
Mme Florence JEGAT;Recettes intéressantes;De bons produits frais 👍 serait-il possible de varier les recettes s’il vous plaît ? J’ai quand même beaucoup de recettes à base de blanc de poulet avec des pâtes…. Certes elles sont très bonnes cela dit, mais j’aimerais bien varier un peu. Genre des bagels , hamburgers , steak….. cordialement Sylvie et marine;4; 31 mai 2023
Marie Poulizac;J’étais plutôt conquise au départ car…;J’étais plutôt conquise au départ car j’ai découvert de belles recettes originales avec beaucoup de saveurs, etc J’en ai beaucoup parlé autour de moi, j’ai parrainé plusieurs amis. Mais cela ne m’a apporté aucun avantage donc grosse déception. Et ensuite, les recettes se ressemblaient beaucoup, et étaient souvent composées de poulet, de pâtes, de riz. J’ai finis par m’en lasser et je trouvais que les prix ne valaient pas toujours se que j’avais dans les box. Donc je prends plus occasionnellement maintenant mais déçue;3,5; 01 février 2023
Stéphanie  Thebault;Les repas sont délicieux par contre je…;Les repas sont délicieux par contre je trouve dommage qu on ne peut pas choisir l heure de la livraison des repas car toute une journée c est compliqué vu que je travail;3; 09 mai 2023
sébastien chauvin;formidable;Gain de temps, pas de gaspillage , économie au niveau budget  courses .;4; 01 juin 2023
marie petit;Concept très pratique et qui n'est pas…;Concept très pratique et qui n'est pas plus cher que si l'on faisait nos courses nous mêmes.Ravie de ne pas avoir à réfléchir et a passer 2h dans les magasins pr faire mes courses;5; 15 mai 2023
Pam Ptrt;Facile et original;Les recettes sont originales et pas très compliquées à cuisiner. Je trouve qu'il a peu de recettes avec de la viande proposées hors supplément. C'est un peu dommage.;5; 14 mai 2023
Marina CABIÉ;Produit très frais;Produit très frais, large choix de repas, livraison toujours parfaite et également pour la préparation du colis ! Je recommande et valide !;4; 31 mars 2023
Estelle Guillo;SERVICE NON ASSURE: très décevant.;Livraison pas assuré le bon jour. Manque des recettes dans la box.Manque des ingrédients à chaque colis. Donne envie de résilier, aucune vérification des box avant envoi.;5; 16 mai 2023
Mala CHABANON;Je suis une cliente de Hello Fresh;Je suis une cliente de Hello Fresh. Je suis heureuse de vous partager mes ressentis.Les menus sont parfaits et j'ai le plaisir de suivre les modes d'emploi des recettes. C'est un vrai régal. Hello Fresh livre des légumes fraîches en bon états , on n'a pas besoin d'acheter des épices,  tout est inclus dans la livraison. Les calories sont respectés. La chaîne du froid aussi est respectée. Les livreurs sont à  l'heure et ils sont sympathiques. N'hésitez pas de faire un pas vers Hello Fresh,  je vous recommande vivement. Prenez le plaisir de cuisiner c'est bon pour le moral et la santé.;1; 31 mai 2023
Geneviève  Sirvins;Manque trois produits;Manque trois produits: lentilles, pommes de terre et poulet;5; 09 mai 2023
Nanette;Facile à cuisiner, pas de soucis d oubli de produits, tout est dans le sac.;Facile à cuisiner;1; 31 mai 2023
Maria Draghici;Recettes ok mais quantités ridicules;Recettes ok mais quantités parfois ridicules sur certains ingrédients sur certaines recettesMême les recettes restent chères pour ce que c'est (exemple un plat de pâtes ne coûterait pas 5e à préparer par personne)Livraison payante et assez chère, jamais gratuite malgré le prix du panierMax 5 recettes possible par semaine, si on veut plus faut prendre avec un supplément par portion ce qui revient assez cher minimum 8e par portion...Parfois pour dépanner et lors de réductions de 20,30% ça vaut le coup, autrement trop cher par rapport à la qualité et souvent la quantité.;5; 14 juin 2023
Charlotte Lopez;Très bonne expérience;Très bonne expérience, les repas sont toujours très bons et variés. C'est un plaisir de cuisiner ^-^;4; 07 juin 2023
Yelena Imash;Livraison est vraiment décevant;Livraison est vraiment décevant. Nous avons toujours pas reçu notre box, car ce matin livreur nous a appelé et nous avons répondu, mails il y’avait que du bruit au téléphone. Puis, nous avons reçu un mail nous demandant de reprogrammer la livraison pour une date ultérieure, alors que c’est pour ce week-end qu’on a commandé Hellofresh. J’ai essayé plusieurs fois à joindre chronofresh, mais sans succès. C’est vraiment dommage qu’on ne peut pas profiter de votre produit à cause de mauvaise prestation de service !upd: colis concerné (commande 228545686 ) n’a  jamais été  livré car les produits ont été périmé. cette nouvelle nous a été communiqué par chronofresh. c’est vraiment dommage.;5; 05 mars 2023
Nathalie Simon;Bonjour;BonjourVos recettes sont bien mais faudrait rajouter des pâtes et riz complets;1; 21 octobre 2022
Yassin Tiouajni;C'est complètement nul le produit;Très satisfaite. Le seul regret c'est de ne pas avoir de repas pour 1 seule personne;4; 02 juin 2023
lydie veracx;Très satisfaite;Il me manque à chaque un produit.Ex: pommes grenailles : on me dit d'aller en magasin les acheter !...;1; 07 juin 2023
Genevieve Hierso;Il me manque à chaque un produit.;Commande qui devait être livrée le mardi 13 juin entre 8h et 18h, pas de livraison et prévenue à 15h que ce serait le lendemain entre 9h et 10h, toujours pas de livraison, livreur qui se présente à 14h et biensur je ne suis pas là, livraison le lendemain, il contacte mon compagnon mais trop tard il a fini sa journée pour livrer donc il repassera le lendemain encore donc le vendredi, j'attends toute la journée et pas de livraison..Je ne commanderai plus!;5; 31 mai 2023
Estelle Lafitte;Livraison;Oubli de décocher la livraison de cette semaine... donc reçu panier qd même avec des recettes non choisies. 2 recettes de pâtes et une tarte... zéro viande, poisson...Très cher panier ...;3; 07 juin 2023
Emilie  Guillebaud;Oubli de décocher la livraison de cette…;Première commande jamais reçu.... le profil à été crédité d'avoir, je passe une deuxième commande celle ci est débité de mon compte et l'avoir n'est pas pris en compte ... résultats 150€ de courses pour rien.;1; 16 juin 2023
Stéphanie  Pascal;Produits de très bonne qualité;Produits de très bonne qualité. Recette facile à suivre avec la fiche recette détaillée fournie dans la box. Le choix varié des recettes permet de cuisiner avec des ingrédients qu'on n'a pas l'habitude d'acheter et de goûter des saveurs nouvelles. Dommage qu'il ne soit pas prévu la reprise des cartons qui servent à la livraison.;3,5; 07 juin 2023
Angel SG;Dubitatif quant à cette arnaque..;J’avais une offre promotionnelle de bienvenue disent-ils lors de la souscription. J’avais des doutes mais je me suis why not ok va tester. Et devinez quoi 40€ de commande pour avoir « cette offre » annulée unilatéralement par hellofresh sans préavis ni information. Même pas un un bonjour. Bref déçu de ce genre de pratique commerciale. En revanche ils ont su garder l’argent afin de le bloquer sur le compte personnel contraignant d’acheter au minimum 5 repas afin de me contraindre de payer le prorata de leur offre. Là encore sans dire bonjour ou même un simple pardon. Super et un grand merci pour ce qui semble au final être une sacrée arnaque. J’avoue ne pas comprendre ces avis positifs. Sûrement des faux comptes ? À voir s’ils prendront le temps de me répondre ?Anyway merci de m’avoir fait perdre mon temps et mon argent.Cordialement;5; 13 juin 2023
Nolwenn Gueguen;Je suis très satisfaite d’HelloFresh;Je suis très satisfaite d’HelloFresh, cela nous a permis de découvrir pas mal de recettes. Toutes très facile à réaliser, pas mal de choix light, véggé ect, il y en a pour tout le monde. Quantités généreuses sur certaines recettes, mais sur d’autre c’est un peu léger. De temps en temps des oignons ou ail un peu pourrit, mais ça doit être de la faute des transporteurs qui balancent les colis (vue l’état dans lequel on les reçois des fois). Ayant eu quelques petits soucis de livraison ces deux dernières semaines à à cause de Chronofresh, le SAV d’Hellofresh a était hyper réactif, et m’a remboursé les frais de port d’une des deux box que j’ai dû aller chercher à l’agence de Chronopost, ainsi que la box que je n’ai pas reçu, en plus j’ai eu le droits à un geste commercial pour ma prochaine box. C’est rare d’avoir des super SAV comme le leurs. Je recommande fortement, le systèmes des désabonnements ou de mise en pause est très simple également.;1; 16 juin 2023
carmen alaoui;Manger des vrais produits frais de…;Manger des vrais produits frais de qualité. Recettes variées et intéressantes. Faire moins de courses. Recettes faciles à faire et préparation courte.;5; 08 juin 2023
floriane keignaert;Déçue de ma dernière box;Produits éventrés:poulet et crème fraîche donc impossibilité de faire une recette + produit manquant : crème fraîche.presence de tabac sur un des couvercles alimentaires;5; 19 mars 2023
Anne Jeand’heur;Expérience intéressante;Expérience intéressante : concept intelligent et pratique Les menus sont variés et à chaque fois excellent.Gros bémol : souvent des oublis d ingrédient dans les box voir parfois manque de recette entière. Dommage c est le seul défaut pour l instant et pas des moindre …;2; 14 mai 2023
Laurence Camard;Plus jamais;Depuis quelques temps, baisse très nette de la qualité, repas manquants, viande périmée. Impossible d’annuler son abonnement sur le net. Le service client appelé me dis qu’elle m’a désabonnée, mais aucune confirmation par mail, et je ne dois pas retourner sur le site, sinon je suis automatiquement réabonnée !!!!!?? C’est quoi cette arnaque, je ne peux même pas vérifier mon numéro client;3; 16 juin 2023
Elodie Luce;Une bonne découverte qui motive à…;Une bonne découverte qui motive à cuisiner et tester de nouvelles recettes avec de bons ingrédients.;1; 30 mai 2023
Francisca Figueiredo;Seul problème: la livraison;Les ingrédients sont de bonne qualité et il y a une grande variété de plats. Les recettes sont faciles à suivre.Cependant, la livraison est très difficile. Elle est faîte à des moments aléatoires dans la journée et on est prévenus que le matin même. Pour les personnes qui ne travaillent pas depuis la maison c'est très compliqué, vu que c'est des produits frais qui ne peuvent pas attendre dehors. Pour pouvoir choisir des créneaux il faut payer, et même comme ça c'est des créneaux de 2h (trop larges) et le plus tôt c'est 9h-11h donc déjà trop tard pour les personnes qui partent travailler.;4; 31 mai 2023
Océane Poeta;2 premières box niquel je reçois ma 3…;2 premières box niquel je reçois ma 3 ème box je vais pour faire le repas et il me manque des ingrédients;4; 30 mai 2023
Hélène;Une fois de plus un ingrédient manquant…;Une fois de plus un ingrédient manquant (200g de poulet) et on ne me propose qu'un avoir alors qu'on devrait me rembourser! Je suis très déçue car ma première expérience avait été satisfaisante.;4; 01 juin 2023
Louisa Khoumri;excellent;excellent, cependant il manque quelquefois des ingrédients : laurier, ail 'ce n'est pas grave en soi) et à ma dernière commande il manquait l'élément essentiel : le poisson.;2; 03 avril 2023
Flora Vallejo;Grâce à hellofresh j'ai découvert des…;Grâce à hellofresh j'ai découvert des recettes simples à cuisiner en variant les aliments. Le service client est très efficace;4; 09 mars 2023
Uriel;Des plats équilibré et bons;Des plats équilibré et bons, parfait pour ceux qui veulent perdre poids tout en gardant le côté gourmand, végétarien ou carnivoreJe revis depuis Hellofresh;5; 30 mai 2023
EmilieLB;Petit bémol sur la provenance des…;Petit bémol sur la provenance des légumes. Les brocolis du Kenya 🤔;5; 07 juin 2023
IGOL;Colis de produits frais laissé en plein soleil;Le livreur n’ayant pas respecté la plage horaire planifiée en amont, est venu à mon domicile en mon absence. Il a déposer un colis de produits frais en plein soleil devant la porte de mon domicile. Colis que j’ai retrouvé environ 6 heures après son dépôt… je ne suis pas certaine que le respect de la chaîne du froid soit une priorité pour HelloFresh !!;3; 15 juin 2023
Melisssa;Change mon quotidien;Très bien conçue et belle recette ! Très pratique mais: dommage qu’on puisse avoir que 6 repas maximum par semaine et que la qualité de la viande laisse à désiré…;1; 03 juin 2023
MASLANKIEWICZ AUBENAS Marie-Thérèse Louis-René;Une fois de plus je n ai pas été livrée…;Une fois de plus je n ai pas été livrée ce matinSans aucun message de personne ni SMS ni appel téléphonique J étais chez moi à attendre jusqu à 14h30Je vous envoie donc 1 recommandé demain pour ne plus bénéficier de vos servicesBonne soirée à vous;4; 14 juin 2023
Pauline;Il manquait les crevettes ingrédients…;Il manquait les crevettes ingrédients principal de la recette;1; 11 juin 2023
GHETTI GERARD;Une très bonnes qualité des produits…;Une très bonnes qualité des produits frais livrés, des recettes facile à mettre en œuvre.;2; 01 juin 2023
Michel Périer;Des livraisons toujours en retard;Des livraisons toujours en retard, des recettes encore identiques. Moi qui était client en 2021, vous vous êtes dégradé, d'ailleurs je vais mettre un terme à cet abonnement. Je ne vous remercie pas.;3,5; 01 mai 2023
Marie-Ange Wolf;Satisfait mais viande de volailles de mauvais qualité;Nous sommes contents de notre première commande.Néanmoins nous étions déçu sur la viande. Les Filet de poulet ont beaucoup rétréci alors de la cuisson...;1; 08 juin 2023
Charly Leporc;Produit sympa mais modele commercial à vomir;Client depuis 2 ans, j'étais satisfait du service malgré quelques produits manquant ou pourri de temps en temps. La mauvaise experience s'est produit car dans l'incapacité de changer l'adresse de livraison pendant les vacances, j'ai ouvert un autre compte pour me faire livrer une box.HelloFresh ne permet que de mettre en pause les abonnements, nous nous sommes donc fait livrer alors que nous n'étions plus là et bloquer le paiement correspondant puisque nous n'avons pas reçu la box. Suite à ça, Hello Fresh va jusqu'à commissioner une entreprise de recouvrement pour recuperer un paiement qu'ils ont forcé au consommateur et ne repondent pas aux emails a leurs service client. Fuyez!;4; 15 juin 2023
Nelly Davies;Accumulation d’ingrédients manquants;Accumulation d’ingrédients manquants, service client pas à la hauteur, dégradation générale de la qualitéEt pour répondre à la question posée par le service client suite à mon avis: j’utilise HelloFresh depuis plus d’un an, je n’ai jamais eu aucun problème jusqu’en mars: livraison annulée sans me prévenir, livraison annulée avec message d’avertissement, box entièrement manquante, ingrédients manquants dans quasiment toutes les recettes depuis, service client de l’appli ne fonctionne pas, service client au téléphone qui m’invite à aller acheter au supermarché les ingrédients manquants, impossible de parler à un responsable, pas de remontée des problèmes alors que signalés à maintes reprises etc etc;1; 12 juin 2023
Mme catherine mouret;le bonheur en cuisine;produits frais quantité excellente rapidité de préparation des recettes qui sont inventives mais surtout bonnes !;1; 30 mai 2023
Pascale Renaud;Les recettes sont très bonnes et il y a…;Les recettes sont très bonnes et il y a beaucoup de choix.;4; 30 mai 2023
Gino Coudray;Le produit et sa livraison;De bons produits avec des recettes originales Petit bémol sur la livraison, les changements demandés par mail  e sont pas pris en compte;4; 27 mars 2023
dommage;avec les produits manquants, recette infaisable;super recette, très pratique et ludique...sauf que sur 3 livraisons...3 produits manquants dont la viande. Une idée d'amélioration: un contrôle qualité plus performant. Je pense à arrêter l'expérience;4; 30 mai 2023
Brigitte G.;Première livraison;Première livraison. Il manque plusieurs produits, un seul pack sur 5 est complet.;2; 14 juin 2023
Cynthia marcha;Dernière livraison incomplète;Les premières livraisons étaient parfaite.Celle de ce matin (commande avec bon de réduction) est incomplète.Un sms la veille pour prévenir de pomme de terre en moins pas de soucis, cependant je constate à l'ouverte qu'il manque dans un menu le Lieu-Noir (3 personnes) et dans une autres le poulet (3 personnes).Je regrette cet incident et ne trouve pas le service au top (incident déclaré il y a quelques heures) et pas de retour encore.Si, comme pour les pommes de terre, le crédit équivalent à la perte est déposé sur le compte, il n'est possible de l'utiliser que sur une livraison SANS promo.. bien dommage alors que les premières étaient top;1; 23 février 2023
Noemie;Peu de plats végétariens;Il y plein de plats qui ont l'air vraiment bon mais qui sont avec viance. C'est vraiment très dommage de ne pas proposer les mêmes plats avec une option sans viande (et en remplaçant la viande avec du tofu / tempeh / seitan). Il y a assez peu de plats végétariens et ils contiennent quasi tous du fromage (donc pas très light).J'aurais aimé aussi une version légère (sans ou peu de féculent) pour les diners;3; 17 mai 2023
Angie;Les recettes sont délicieuses;Les recettes sont délicieuses. Le créneau de livraison choisi a été respecté, et les ingrédients reçus sont frais et de qualité.;3; 31 mai 2023
Emmanuelle;Très déçue par Hello Fresh!!!;Très déçue par Hello Fresh.Box reçue le 03/06/2023 avec à l'intérieur des légumes pourris, des crevettes qui périmaient le 04/06/2023 et du merlu qui périmait du 06/06/2023.Quantité pour 4 personnes très limite.J'ai préféré me désabonner.;5; 26 février 2023
Emmanuelle  Nohales;Très Bon repas enfants ravis;Super,Mais trop d’emballage.Les recettes extras;1; 06 novembre 2022
Claire Lyse potard;Super,;J'ai commencé Hello Fresh durant le confinement. C'était top.Depuis j'ai arrêté car ça fait un sacré budget quand même (nous ne sommes que 2) et les dates sont parfois limites.De plus, nous avons pris du poids malgré l'équilibre des recettes.En dernier, j'avais souvent des soucis d'ingrédients manquants ou qui correspondaient pas (ex une simple tomate qui remplace une coeur de boeuf) remboursés sous forme d'avoir.Les dates sont aussi très juste. C'est à faire dans les 5 jours pour la plupart, voir 3 jours pour certaines. Il faut pas avoir la flemme de cuisiner.J'arrête et je reçois régulièrement des offres promotionnelles, donc je prends juste les promos des 4 boxes suivantes et j'arrête l'abonnement car je trouve trop cher surtout l'été pour des salades...La livraison avec chronofresh est top mais je travaille depuis mon domicile donc je suis disponible facilement pour recevoir mes livraisons.;5; 07 juin 2023
Aurélie Noël;J'ai commencé Hello Fresh durant le…;Bonjour,Entreprise qui vous appâte avec des codes promotionnels non applicables, aliments manquants dans les box, nombreux emballages inutiles, SAV qui n'est pas à l'écoute, et pas de possibilité de fermer votre compte (réponse du SAV: risque de réactivation du compte en allant sur le site). Tout d'une entreprise frauduleuse pour vous coincer avec leurs abonnements. A FUIR !!!!!!!!!!!!!!!!!!!!!!!!!!!;5; 15 juin 2022
Erwan;A FUIR !!!!!!;Les recettes sont bonnes et facile a faire. Mais malheureusement les 3/4 sont des recettes vegan, sa devrait être une option. Obligé de devenir vegan si on veut du choix, c'est dommage;3; 15 juin 2023
Élodie DÉCOUFLET;Les recettes sont bonnes et facile a…;Le concept est top : on choisit les recettes et les courses nous arrivent à la maison avec les recettes détaillées! La réalité diffère quelque peu : il manque souvent des ingrédients donc obligée de faire des courses et c'est souvent la viande... Les dates de péremption sont souvent très courtes donc il faut se dépêcher de manger les repas! Et la plage de livraison est trop large, il faut rester dispo pendant 5h...;1; 11 avril 2023
Marie-Laure Philippe;Bon concept / réalité différente;Au top pour les 1eres livraisons, après ça se gate... cette semaine il me manquait la salade pour 3 menus, les oignons étaient pourris et le parmesan était remplacé par du fromage de moindre qualité. Je suis super déçue et la seule solution apportée est un avoir qui nous oblige à commander encore !;3; 10 mai 2023
Mlle Garrot Laureline;Le concept est très sympa mais cher;Le concept est très sympa, l'appli top, livraison impec. En revanche, tarif trop élevé sans les codes promo, trop d'emballages et parfois composition des produits pas idéale.;3,5; 30 mai 2023
Chrystèle;L expérience est intéressante;L expérience est intéressante, car nous choisissons nos recettes, enfin quand elles sont livrées. En effet, j ai eu la mauvaise surprise la veille de recevoir mon colis, qu une recette ne serait pas livré. Cette semaine, il manque les pommes de terres......  Donc, pas de possibilité de changer de recette.;3; 08 mai 2023
Julie;Une nouvelle façon de manger;Très bonne alternative pour ne plus se creuser la tête à faire des bons repas chaque jour. Les produits sont bons et frais, les portions sont généreuses surtout en féculent et en légumes, ce qui obligent à revoir la quantité de viande consommée en dehors (souvent bien trop importante). Le service est suivi, s'il y a un soucis avec un menu ou une commande, l'équipe est réactive. Personnellement, je suis ravie de ne plus faire de courses en supermarchés !;4; 29 janvier 2023
AlainMonchet;J’adore HelloFresh les recettes sont…;J’adore HelloFresh les recettes sont délicieuses, facile à cuisiner et les ingrédients sont de très bonne qualités. Je recommande.;5; 26 février 2023
Pierre;il manque des produit se qui et abusé…;il manque des produit se qui et abusé vue le tarif , il faudrait aussi inclure le vinaigre et les autre produit;5; 31 mai 2023
CAROLINE MOUTE;Produit livré frais;Produit livré frais. Recette sympa;3; 07 juin 2023
Ophelie F;Hello Fresh m'a permis de cuisiner avec…;Hello Fresh m'a permis de cuisiner avec toute le justesse que la cuisine demande ! Zéro gâchis grâce à ce concept. Vu les prix des produits aux magasins je fais des économie grâce a eux. Je recommande vivement !Néanmoins je ne sais pas si c'est depuis les influenceurs font de la pub pour Hello Fresh, mais je reçois des colis pas complet, ou des ingrédients manquant, ou encore 1 fois mon colis n'a pas pu être livré pour je ne sais quelle raison. Heureusement que le service client est réactif.;4; 15 octobre 2022
Christophe Sergeant;Manque certains ingredients;Manque certains ingredients. Malgre le fait de l’avoir signalé, aucune reaction de la part d’hello fresh . Beaucoup trop d’emballage plastique;4; 03 juin 2023
Fournier Elise;Il m'a manqué une recette complète.;Trop pratique de sortir le sachet tout prêt pour cuisiner;2; 23 janvier 2023
Carole;La solution de la facilité;Quel déception on a passé une commande sur 3 box que déjà la première est annulée;1; 14 juin 2022
Laurena Léger;Déçue;Depuis que j'ai souscrit hello fresh je fais découvrir a mes enfants de nouvelles recettes, mais aussi je prends aussi plaisir a les cuisiner.;4; 11 juin 2023
Sheylla Hernández;J'adore le concept!;Je valide ultra pratique produits frais recettes qui change de d'habitude plus besoin de se prendre la tête à chercher quoi faire à manger.;1; 16 mars 2023
Ingrid Dervaux;Je valide ultra pratique produits frais…;Ça fait la 2ème fois qu'il me manque plein d'ingrédients pour une recette... d'ailleurs tout une recette complète...je veux le  remboursement complet de la recette car de toute façon on ne commandera plus chez vous (maintenant c'est les mêmes prix que quiconque qui étaient un peu plus cher au début) la dernière fois, vous n’avez  pas voulu me rembourser en disant que déduiriez d'une prochaine commande... et finalement RIENVOUS PRENEZ LES GENS POUR DES PIGEONS;5; 17 mai 2023
Vincent Pringarbe;Ça fait la 2ème fois qu'il me manque…;Portion trop petite. Aliment impossible à utilisé (avocat dur et inutilisable, tomate non mûr....);5; 01 juin 2023
Nathalie Rico;Portion trop petite;A éviter, ils vous envoient des box même si vous ne les commandez pas, vous forçant à les payer par une société de recouvrement.;1; 21 avril 2023
Othilie Coudriet;A éviter;Très bons repas avec des portions très corrects;1; 13 juin 2023
Céline Perthuis;Très bons repas avec des portions très…;C'est dommage il manque souvent des ingrédients pour faire les recette;1; 01 mai 2023
Marie-christine Lux;C'est dommage il manque souvent des…;Très contente des recettes, du goût, de la livraison et du gain de temps ! Grâce à Hello fresh nous cuisinons en famille c'est très positif;5; 01 avril 2023
Géraldine Allibert Géraldineal;Très contente des recettes;Parfait , belles saveurs concernant ces recettes originales;3; 26 mars 2023
Francoise;Hello;J'ai commandé ma première boxTout était parfait dans le carton mais je déplore beaucoup trop de papier d'emballage Sinon les produits sont frais et le premier repas excellent !!!!;3,5; 08 juin 2023
Anne-Claire Groo;Déçue par la fraîcheur.;Déçue par la fraîcheur.J’ai utilisé une première recette le jour même de la livraison et les oignons étaient tout mou et rabougri. Je trouve cela très surprenant (pour une box helloFRESH), et heureusement que je n’ai pas attendu plusieurs jour.;4; 12 mai 2023
salingue;Satisfaisant dans l'ensemble;Deux semaines que je reçois mes colis et cuisine avec un seul ingrédient manquant. Les produits sont de bonne qualité dans l'ensemble et les quantités suffisantes. Nous apprécions les recettes mais nous aimerions encore un peu plus de variétés dans les accompagnements.;1; 31 mai 2023
Katy  Cornu;Bonne recette;Très bien conditionné, bonne recette,Dommage quelques produits abîmés et manquant;4; 03 juin 2023
Giulia Cipani;Il manque toujours des…;Il manque toujours des ingrédients....dans cette dernière box manquait une recette entièreté plus différents autres ingrédients... ça devient de pire en pire je suis en train de réfléchir si quitter ou non hello fresh...en plus les box en retard ou jamais arrivées..ça commence à faire trop;4; 05 mars 2023
Audrey Cordier Buhl;Il manque ciboulette et ail déçu vu le…;Il manque ciboulette et ail déçu vu le prix Sinon très bon;1; 07 juin 2023
Zian KOCH;Qualité des produits et des recettes au…;Qualité des produits et des recettes au top !;4; 12 avril 2023
Stephanie;Les produits sont frais et les recettes…;Les produits sont frais et les recettes bien expliquées et savoureuses;5; 01 juin 2023
Catherine;Manque ingrédients;Cliente depuis 6 mois j’étais satisfaite. Les repas sont bons. Malheureusement depuis peu il manque des ingrédients assez souvent et dans la dernière box 2 recettes n’ont pas le poulet.C’est une galère pour avoir le service client qui ne fait que des avoirs et pas des remboursements.Vu le prix des repas j’arrête hello fresh avec regret;5; 08 juin 2023
anne;Des recettes toujours extra pour tous…;Des recettes toujours extra pour tous les goûts, avec des explications claires, inratable !! Des produits de qualité, vraiment rien à redire je recommande vivement. Juste dommage qu'on ne puisse pas prendre plus de 5 repas...;2; 08 juin 2023
Yannis Dakik;Des produits frais;Des produits frais, certains provenants de France. Les recettes sont bonnes, variées et faciles à suivre !;5; 07 juin 2023
H.S;1ere expérience;Assez bonne 1ere expérience mais qq petits réajustements côté organisationnel ou date limite. J'ai dû jeter 4 filets de poulet car je me suis aperçue trop tard que la date était assez courte ...les filets sentaient très fort. Il manquait également dans une des recettes les cacahuètes...A part ces deux incidents, j'ai pris plaisir à cuisiner et tout le monde s'est régalé;5; 30 mai 2023
Thomas Lenne;Sublime des recettes au top !;J’avais déjà vu à de nombreuses fois vos pub et je ne m’étais jamais lancée. Je suis hyper satisfaite. Recevoir mon colis et par la suite découvrir et ensuite préparer et voir le résultat et comment c’est savoureux !!! Je mange de tout et c’est très varié. Je recommande fortement.;4; 02 juin 2023
Maria CHARENTE;J’avais déjà vu à de nombreuses fois…;J’adore !!!Une amie m’en a parlé et m’a parrainé et j’en suis absolument ravie Je n’hésiterai pas à en parler autour de moi et à le conseiller Les recettes sont hyper bien expliquées et super bonnes et tout sans gaspillage, et des portions très généreuses;5; 31 mai 2023
Christelle Oudart-Bourgain;J’adore !!!;C’est très bien d’avoir des repas qui sont en détails pas de prise de tête pour chercher quoi faire à manger. Je recommande les produits sont frais et équilibré.;5; 12 juin 2023
Audrey;Super concept;Les recettes sot toujours aussi bonnes et copieuses.;5; 13 juin 2023
Laurence L;Recettes au top!;Sur trois recette deux étaient top mais la troisième c’était du poisson et en ouvrant ça sentait une odeur de putréfaction alors qu’il restait deux jours de date de péremption.Nous avons fait cuire quand même le poisson mais il avait un goût. Tout est partie à la poubelle.;5; 12 avril 2023
Yannick Foiret;Sur trois recette deux étaient top mais…;De bonnes recettes faciles à faire et très bon ça change de l'ordinaire;5; 18 mai 2023
dominique richard;pas compétent en comptabilité;je suis harcelée pour une livraison non réglée alors que j ai rien reçudepuis j ai arrêté toute commande dommage les produits étaient bien;3,5; 17 mars 2023
pudepiece stephanie;Herbes aromate;Bonjour mes produits frais sont très souvent abîmés surtout les herbes aromatiques. Écrasées et noires ....et on me dit de contacter via l appli. Mais cela ne fonctionnd pas....De plus j ai parrainé une amie et je n ai pas eu de réduction j ai l impression....cdlt;2; 06 juin 2023
Mélanie  Bloux;Je suis mitigée;Je suis mitigée. Je trouve le concept top mais malheureusement un peut chère par rapport à faire ces propres courses.  Les codes promos nous font croire à pas mal de réductions or je n'ai eu que 15 euros.  Je trouve également que dans les recettes il manque des légumes.  J'ai du rajouter un poivrons et de la chapelure pour réaliser la recette de cordon bleu.  Sinon les recettes sont très bonnes.;1; 31 mai 2023
Leslie Calou;Très pratique pour moi qualité des…;Très pratique pour moi qualité des produits et bonne recette;3; 31 mai 2023
Ludivine DENIAU;A fuir;"A fuir. Quand tout ce passe bien aucun soucis. Dès lors qu'il y a un problème le service client est tout simplement incompétent. Je les ai contacté pour indiquer la mauvaise utilisation de mon code promo. prise en charge très rapide et mon compte est supprimé pour que je puisse utiliser mon code promo. Problème je suis quand meme débité pour le second compte. Je recontacte le service client qui m'indique que 2 boxs vont m'etre livrée le meme jours et qu'elle ne peut plus être interceptée vu le délais mais qu'un remboursement va m'etre fait pour me dédommager. Parce qu'evidemment 2 box de 5 repas identiques reçues en même temps n'ont aucun interet et nous avons perdu une partie des ingrédients qui ne se sont pas conservés. Depuis le 25 avril je suis toujours en attente de se remboursement. A chacun de mes contacts avec le service client on me dit que le remboursement a été effectué, ce qui n'est pas le cas. Pire on m'annonce que je serais recontacté d'ici ""quelques minutes"" par téléphone.  5 Jours après j'attends encore.";5; 25 avril 2023
Pauline  LECACHEUR;Super;C'est tout simplement bon, efficace et original.Je recommande.;1; 01 juin 2023
Florence Dreher;Concept sympa mais très onéreux;Les quantités en viande sont très justes ... Et de plus tous les repas proposés ne sont pas compris dans le forfait. Par exemple j'ai dû payer un surplus pour commander le repas de burger.Sur mes deux repas comprenant de la salade, celle ci n'était pas de le colis. Concept sympa mais trop onéreux...;5; 01 juin 2023
